metric,value
exact_list_change_rate_click_pres,0.887004
set_change_rate_click_pres,0.882792
reorder_only_rate_click_pres,0.004212
mean_positions_changed_count_click_pres,1.005552
median_positions_changed_count_click_pres,1.000000
p90_positions_changed_count_click_pres,1.000000
mean_positions_changed_fraction_click_pres,0.100555
pct_sessions_eq1_positions_changed_click_pres,0.859790
pct_sessions_ge2_positions_changed_click_pres,0.052706
pct_sessions_ge3_positions_changed_click_pres,0.026370
top_3_most_changed_positions_click_pres,pos10:53672; pos9:2121; pos7:892
mean_abs_shift_clicked_click_pres,0.001707
median_abs_shift_clicked_click_pres,0.000000
pct_clicked_shift_gt0_click_pres,0.001707
mean_kendall_tau_intersection_click_pres,0.000963
mean_intersection_size_click_pres,9.062945
order_change_rate_set_match_bucket,0.047180
avg_clicks_per_session_top10,1.432109
fraction_sessions_with_1_click,0.547991
fraction_sessions_with_2plus_clicks,0.301432
click_pres_bootstrap_enabled,0
click_pres_bootstrap_B,1000
click_pres_bootstrap_seed,0
click_pres_bootstrap_n,60781
click_pres_delta_ctr_point,0.002848
click_pres_delta_ctr_ci_lo,0.002848
click_pres_delta_ctr_ci_hi,0.002848
click_pres_delta_ndcg_point,0.001021
click_pres_delta_ndcg_ci_lo,0.001021
click_pres_delta_ndcg_ci_hi,0.001021
