penalty,strategy_name,lambda,eta,m,top_L,alpha,epsilon,inject_prob,ndcg10_mean,ndcg10_std,new_cov_mean,new_cov_std,unique_shown_new_mean,unique_shown_new_std,avg_new_fraction_mean,avg_new_fraction_std,ttf_mean_mean,ttf_mean_std,entropy_stability_mean_mean,entropy_stability_mean_std,entropy_stability_median_mean,entropy_stability_median_std,delta_cov,delta_unique,delta_ttf,delta_ndcg
0.1,Baseline,0.0,0.65,2,50,0.5,0.2,0.2,0.1845074198942781,0.011553364653107604,0.20339841520913807,0.030815726217092835,42.75,5.521548695791789,0.04809500000000001,0.007696588529991714,1857.6095394664069,23.00352357210081,,,,,0.0,0.0,0.0,0.0
0.1,EDE-Smoothed,0.4,0.65,2,50,0.5,0.2,0.2,0.18247435886276595,0.012305835035806756,0.7466950092981346,0.04009736583307658,171.35,3.745330426010501,0.24242500000000003,0.008008550118467139,1434.6688481265599,35.16826081862211,0.012179708380071876,0.00011152273176702414,0.011522519902136683,0.00015355086625897085,0.5432965940889966,128.6,422.94069133984704,-0.0020330610315121567
0.1,EDE-Unsmooth,0.4,0.65,2,50,0.0,0.2,0.2,0.18237055507822347,0.012414719337563081,0.7473523666794245,0.041718970517909605,171.7,3.2726136343907144,0.24315000000000003,0.008179883862256238,1439.149776107822,37.08811089946987,0.013968608688032524,0.0001553063489251342,0.01257738467671366,0.0004785415536675333,0.5439539514702865,128.95,418.45976335858495,-0.002136864816054629
0.1,Random-Injection,0.4,0.65,2,50,0.5,0.2,0.2,0.18426861587474092,0.011619558041235312,0.1969700763277785,0.033106669439182446,45.25,5.402545696243577,0.04832000000000001,0.00764143965493414,1859.385955655712,25.28828983720417,,,,,-0.006428338881359574,2.5,-1.7764161893051096,-0.00023880401953718655
0.1,Epsilon-Greedy,0.4,0.65,2,50,0.5,0.2,0.2,0.17714345587453414,0.011453361469405404,0.25818304521570273,0.03159802549460398,99.95,5.607807058021879,0.05134,0.006941066200519916,1826.9802521204851,22.846659230979743,,,,,0.054784630006564666,57.2,30.62928734592174,-0.007363964019743957
0.15,Baseline,0.0,0.65,2,50,0.5,0.2,0.2,0.18276581858576033,0.011590693381215425,0.10012647615287443,0.022527085873745568,20.65,4.269367634673781,0.022155,0.00520100711401167,1928.0623807055442,17.959838461677993,,,,,0.0,0.0,0.0,0.0
0.15,EDE-Smoothed,0.4,0.65,2,50,0.5,0.2,0.2,0.18265564992090932,0.012145101671062504,0.7392416753845641,0.03421381622641644,172.3,3.4219877264537346,0.21599500000000002,0.006337544871636019,1443.2614366051494,35.02725172606534,0.012217834285627628,9.576243379726744e-05,0.011550886583674268,0.0001488539801509781,0.6391151992316897,151.65,484.8009441003949,-0.00011016866485100141
0.15,EDE-Unsmooth,0.4,0.65,2,50,0.0,0.2,0.2,0.18253052458667646,0.01222298383862777,0.7343380068996772,0.036109095518301625,173.2,3.5298725189445577,0.21647000000000002,0.006753747108087478,1453.0741225826569,39.777075475427466,0.013999137200175427,0.00014851437884392732,0.012688847710741507,0.0004949078777162397,0.6342115307468028,152.54999999999998,474.9882581228874,-0.00023529399908386872
0.15,Random-Injection,0.4,0.65,2,50,0.5,0.2,0.2,0.1825489488284814,0.011649710076638857,0.10313037740591499,0.022710446683974223,22.25,4.537345038676252,0.02224,0.005222298344598859,1926.9154246820574,20.600068595942762,,,,,0.003003901253040564,1.6000000000000014,1.1469560234868368,-0.00021686975727891467
0.15,Epsilon-Greedy,0.4,0.65,2,50,0.5,0.2,0.2,0.17575000353109527,0.011266320967804628,0.12800575741178985,0.03417774245039768,57.15,7.001964010190283,0.024445,0.004857517370015263,1913.6863370328902,25.644526207549266,,,,,0.027879281258915423,36.5,14.376043672654077,-0.007015815054665059
0.2,Baseline,0.0,0.65,2,50,0.5,0.2,0.2,0.18199474339642469,0.0117753533912399,0.04208830268362661,0.018503949724582074,8.7,3.7429934544425802,0.009180000000000002,0.004202927551124336,1970.6914178515513,12.937494532784987,,,,,0.0,0.0,0.0,0.0
