penalty,click_model,strategy_name,lambda,eta,m,top_L,ndcg10_mean,ndcg10_std,new_cov_mean,new_cov_std,unique_shown_new_mean,unique_shown_new_std,ttf_mean_mean,ttf_mean_std,avg_new_fraction_mean,avg_new_fraction_std
0.1,pbm,Baseline,0.0,0.65,2,50,0.18363645772183007,0.012351021873315314,0.20147956935727857,0.031937398304912885,42.75,5.521548695791789,1849.1979514661161,25.46400850225994,0.04738,0.007200736073485822
0.1,pbm,EDE-Safer,0.4,0.65,2,50,0.18170765394342653,0.012636275233143281,0.7330020531184948,0.04125140401824382,171.05,3.6397115270306792,1446.0040837656124,32.67890355427924,0.24343999999999996,0.008187942354462439
0.1,pbm,Random-Injection,0.4,0.65,2,50,0.1837602571421022,0.012014641605640775,0.19911032084414174,0.033901420907028364,45.7,6.277738446287803,1858.241468160789,25.401975093460816,0.04835,0.006368477054995174
0.1,pbm,Epsilon-Greedy,0.4,0.65,2,50,0.17677242150507083,0.011834415249364365,0.25961851508193484,0.03696168163043375,100.3,6.261788881781307,1832.8399094770095,27.938972815393488,0.050595,0.006184615994546469
0.15,pbm,Baseline,0.0,0.65,2,50,0.18161594578617166,0.012254738464704729,0.10320692221267916,0.02384741165894644,20.65,4.269367634673781,1927.0103125659014,17.79306463336366,0.021875000000000006,0.004722062579000833
0.15,pbm,EDE-Safer,0.4,0.65,2,50,0.1819492807511238,0.012670905260014671,0.736680128590396,0.03775811357578529,172.85,3.4391132578035286,1446.2038573640743,29.9179719352275,0.21619000000000002,0.0069950625443951486
0.15,pbm,Random-Injection,0.4,0.65,2,50,0.18167878418371325,0.012104842785767818,0.09698037684863998,0.02140306476747401,22.25,4.0972551787751765,1932.5347220175445,17.52997146684831,0.021875,0.004718778973420984
0.15,pbm,Epsilon-Greedy,0.4,0.65,2,50,0.17509121351019483,0.011911064587470755,0.13158847794186843,0.019660352314486804,59.75,6.6473679001541655,1915.1629448881183,16.825952309606667,0.024105,0.003865420416979245
0.2,pbm,Baseline,0.0,0.65,2,50,0.1806624376440939,0.012530330149184516,0.04559103319763917,0.017094543583736268,8.7,3.7429934544425802,1968.3821164063277,14.575989901245181,0.009245,0.00424128223536232
0.2,pbm,EDE-Safer,0.4,0.65,2,50,0.18203647369089007,0.012568310093951863,0.7178902365819217,0.04057928531636769,173.95,3.293554311074891,1461.8178758138033,27.91010412450236,0.18031500000000003,0.006120561657233754
0.2,pbm,Random-Injection,0.4,0.65,2,50,0.18085266903763944,0.012180746496562398,0.046435406188977804,0.021699676347340675,9.95,3.5703641270884403,1968.5184128183944,16.564645706618688,0.008889999999999999,0.003457585862997476
0.2,pbm,Epsilon-Greedy,0.4,0.65,2,50,0.17418125631273979,0.01219899535580884,0.07168677055212272,0.020144509587346367,31.4,5.416641025580336,1954.8694115247322,15.53476524170889,0.010239999999999999,0.0036840738320506015
0.3,pbm,Baseline,0.0,0.65,2,50,0.1796738211092463,0.012802442440209075,0.005844280986458163,0.00647830136023839,1.15,0.9630680142129112,1995.9803575581113,4.7813628513888204,0.0011250000000000001,0.001055402766719891
0.3,pbm,EDE-Safer,0.4,0.65,2,50,0.1817875666287893,0.012616308431828592,0.5783944763394797,0.040275319479805935,142.1,3.9484174044799265,1606.772407092957,36.08439094650674,0.08901,0.005089194435271659
0.3,pbm,Random-Injection,0.4,0.65,2,50,0.17986752353520616,0.012394588757094309,0.007112518288419803,0.0055225495927278805,1.25,1.0428326807307104,1995.2867795643106,3.9420238977527453,0.001245,0.0010007372282472558
0.3,pbm,Epsilon-Greedy,0.4,0.65,2,50,0.17325262567643446,0.012182238480656082,0.013816330521552483,0.010746745269012266,5.4,2.6343879744638983,1992.4731794939373,6.698013665895059,0.0014550000000000001,0.0007684237112426973
0.4,pbm,Baseline,0.0,0.65,2,50,0.17953863411412607,0.01277051969666914,0.00040650406504065046,0.0017719101396506804,0.1,0.30000000000000004,1999.8560975609755,0.627256189436365,0.0001,0.0003
0.4,pbm,EDE-Safer,0.4,0.65,2,50,0.17985042126660014,0.012040239792567178,0.24841153799002685,0.03597322636986394,53.15,5.47060325741138,1858.1233825422037,21.887854236160287,0.025379999999999996,0.0034936513850125344
0.4,pbm,Random-Injection,0.4,0.65,2,50,0.1796695540473187,0.012330628554875482,0.00040650406504065046,0.0017719101396506804,0.1,0.30000000000000004,1999.681300813008,1.389177549486109,0.000125,0.00037533318531672626
0.4,pbm,Epsilon-Greedy,0.4,0.65,2,50,0.17310176122834528,0.01214785549664426,0.0015937352053631121,0.0031916779471657477,1.0,0.8366600265340756,1999.2829430892102,1.7093841490798491,0.000115,0.00010136567466356647
0.6,pbm,Baseline,0.0,0.65,2,50,0.17950682372002655,0.012734691295049214,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
0.6,pbm,EDE-Safer,0.4,0.65,2,50,0.17699596916275973,0.012643234477917919,0.00703546851431589,0.00788932902706769,1.25,1.0897247358851685,1996.4196429317312,4.852669699384313,0.000455,0.0005054453481831641
0.6,pbm,Random-Injection,0.4,0.65,2,50,0.17962972521881296,0.012293236087621935,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
0.6,pbm,Epsilon-Greedy,0.4,0.65,2,50,0.17308453954484865,0.012154569688086462,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0
