penalty,config_name,lambda,eta,m,top_L,ndcg10_mean,ndcg10_std,new_cov_mean,new_cov_std,ttf_mean_mean,ttf_mean_std,avg_new_fraction_mean,avg_new_fraction_std,total_impressions_new_mean,total_impressions_new_std,unique_shown_new_mean,unique_shown_new_std
0.1,Baseline,0.0,0.5,2,50,0.18363645772183007,0.012351021873315314,0.20147956935727857,0.031937398304912885,1849.1979514661161,25.46400850225994,0.04738,0.007200736073485822,473.8,72.00736073485821,42.75,5.521548695791789
0.1,EDE,0.4,0.65,2,50,0.18170765394342653,0.012636275233143281,0.7330020531184948,0.04125140401824382,1446.0040837656124,32.67890355427924,0.24343999999999996,0.008187942354462439,2434.4,81.87942354462444,171.05,3.6397115270306792
0.15,Baseline,0.0,0.5,2,50,0.18161594578617166,0.012254738464704729,0.10320692221267916,0.02384741165894644,1927.0103125659014,17.79306463336366,0.021875000000000006,0.004722062579000833,218.75,47.220625790008334,20.65,4.269367634673781
0.15,EDE,0.4,0.65,2,50,0.1819492807511238,0.012670905260014671,0.736680128590396,0.03775811357578529,1446.2038573640743,29.9179719352275,0.21619000000000002,0.0069950625443951486,2161.9,69.95062544395154,172.85,3.4391132578035286
0.2,Baseline,0.0,0.5,2,50,0.1806624376440939,0.012530330149184516,0.04559103319763917,0.017094543583736268,1968.3821164063277,14.575989901245181,0.009245,0.00424128223536232,92.45,42.412822353623206,8.7,3.7429934544425802
0.2,EDE,0.4,0.65,2,50,0.18203647369089007,0.012568310093951863,0.7178902365819217,0.04057928531636769,1461.8178758138033,27.91010412450236,0.18031500000000003,0.006120561657233754,1803.15,61.20561657233754,173.95,3.293554311074891
0.25,Baseline,0.0,0.5,2,50,0.18003839012633757,0.012692522861339683,0.0184979923712019,0.008859868539281864,1986.3400309171968,7.384102609302908,0.0037000000000000006,0.001745852227423616,37.0,17.458522274236156,3.5,1.5329709716755893
0.25,EDE,0.4,0.65,2,50,0.1819790975064554,0.012725448546019315,0.672942340991988,0.04177988187802009,1505.368796647626,31.82524278553728,0.13544499999999998,0.004620982038484897,1354.45,46.209820384848925,169.05,3.185514087239295
0.3,Baseline,0.0,0.5,2,50,0.1796738211092463,0.012802442440209075,0.005844280986458163,0.00647830136023839,1995.9803575581113,4.7813628513888204,0.0011250000000000001,0.001055402766719891,11.25,10.554027667198907,1.15,0.9630680142129112
0.3,EDE,0.4,0.65,2,50,0.1817875666287893,0.012616308431828592,0.5783944763394797,0.040275319479805935,1606.772407092957,36.08439094650674,0.08901,0.005089194435271659,890.1,50.89194435271657,142.1,3.9484174044799265
0.4,Baseline,0.0,0.5,2,50,0.17953863411412607,0.01277051969666914,0.00040650406504065046,0.0017719101396506804,1999.8560975609755,0.627256189436365,0.0001,0.0003,1.0,3.0,0.1,0.30000000000000004
0.4,EDE,0.4,0.65,2,50,0.17985042126660014,0.012040239792567178,0.24841153799002685,0.03597322636986394,1858.1233825422037,21.887854236160287,0.025379999999999996,0.0034936513850125344,253.8,34.936513850125344,53.15,5.47060325741138
0.6,Baseline,0.0,0.5,2,50,0.17950682372002655,0.012734691295049214,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,EDE,0.4,0.65,2,50,0.17699596916275973,0.012643234477917919,0.00703546851431589,0.00788932902706769,1996.4196429317312,4.852669699384313,0.000455,0.0005054453481831641,4.55,5.054453481831641,1.25,1.0897247358851685
0.8,Baseline,0.0,0.5,2,50,0.17950682372002655,0.012734691295049214,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,EDE,0.4,0.65,2,50,0.17686392352309355,0.012586372278718902,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
