penalty,strategy_name,new_cov_mean,delta_cov,ndcg10_mean,delta_ndcg,unique_shown_new_mean,delta_unique,ttf_mean_mean,delta_ttf
0.1,Baseline,0.203398415209138,0.0,0.1845074198942781,0.0,42.75,0.0,1857.6095394664069,0.0
0.1,EDE-Smoothed,0.7466950092981346,0.5432965940889966,0.1824743588627659,-0.0020330610315121,171.35,128.6,1434.66884812656,422.94069133984704
0.1,EDE-Unsmooth,0.7473523666794245,0.5439539514702865,0.1823705550782234,-0.0021368648160546,171.7,128.95,1439.149776107822,418.45976335858495
0.1,Random-Injection,0.1969700763277785,-0.0064283388813595,0.1842686158747409,-0.0002388040195371,45.25,2.5,1859.385955655712,-1.7764161893051096
0.1,Epsilon-Greedy,0.2581830452157027,0.0547846300065646,0.1771434558745341,-0.0073639640197439,99.95,57.2,1826.9802521204847,30.62928734592174
0.2,Baseline,0.0420883026836266,0.0,0.1819947433964246,0.0,8.7,0.0,1970.6914178515517,0.0
0.2,EDE-Smoothed,0.7257143232755803,0.6836260205919537,0.1827257266209515,0.0007309832245268,174.25,165.55,1458.3195847221116,512.3718331294397
0.2,EDE-Unsmooth,0.713367058352314,0.6712787556686873,0.1827171424907144,0.0007223990942897,174.85,166.15,1462.2990977041943,508.39232014735694
0.2,Random-Injection,0.0464053389218663,0.0043170362382397,0.181768500484798,-0.0002262429116266,9.2,0.5,1967.3656697641295,3.325748087421516
0.2,Epsilon-Greedy,0.0712225065989955,0.0291342039153688,0.1747039865773151,-0.0072907568191095,32.1,23.4,1956.308212893044,14.383204958507122
0.3,Baseline,0.0054500738281111,0.0,0.1809962899890578,0.0,1.15,0.0,1996.1259537019928,0.0
0.3,EDE-Smoothed,0.5717207258943211,0.5662706520662099,0.1825891067815224,0.0015928167924645,142.8,141.65,1607.4069406896435,388.7190130123493
0.3,EDE-Unsmooth,0.5767158943647637,0.5712658205366524,0.1825534517575746,0.0015571617685168,142.4,141.25,1603.626534640547,392.4994190614457
0.3,Random-Injection,0.0055534261898756,0.0001033523617644,0.1807801243470519,-0.0002161656420059,1.4,0.25,1996.3093200349297,-0.1833663329368846
0.3,Epsilon-Greedy,0.0119416677729964,0.0064915939448852,0.1738680737527243,-0.0071282162363335,6.45,5.300000000000001,1993.3574093352536,2.768544366738979
0.6,Baseline,0.0,0.0,0.1808440658466307,0.0,0.0,0.0,2000.0,0.0
0.6,EDE-Smoothed,0.0090971312999622,0.0090971312999622,0.178559852769243,-0.0022842130773876,1.75,1.75,1995.9794540645169,4.020545935483142
0.6,EDE-Unsmooth,0.0107095906957754,0.0107095906957754,0.1784798871877926,-0.0023641786588381,1.75,1.75,1995.9706200054777,4.029379994522287
0.6,Random-Injection,0.0,0.0,0.1806273583421879,-0.0002167075044428,0.0,0.0,2000.0,0.0
0.6,Epsilon-Greedy,0.0,0.0,0.1736974749688132,-0.0071465908778175,0.0,0.0,2000.0,0.0
